,Date,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM),OilPrice,,
1,02-01-2003,342.2,343.8,212.877,214.674,326.527,329.942,30.05,22.48,140.73
2,03-01-2003,344,344.5,215.715,215.447,331.088,331.569,30.83,319.75,1896.5
3,06-01-2003,356.1,351.75,220.837,218.248,339.952,335.864,30.71,,
4,07-01-2003,348.7,349,217.299,217.337,334.966,334.612,29.72,,
5,08-01-2003,346.75,349.75,216.583,218.73,333.093,336.784,28.86,,
6,09-01-2003,354.6,352.4,220.248,219.427,337.233,336.324,29.51,,
7,10-01-2003,353.15,353,219.621,219.323,335.854,334.439,29.82,,
8,13-01-2003,352.35,352.55,219.738,219.794,334.139,334.71,29.82,,
9,14-01-2003,353.75,353.1,220.09,219.385,334.042,333.648,30.21,,
10,15-01-2003,351.9,351,220.006,218.869,334.188,331.664,30.66,,
11,16-01-2003,350.85,352.3,218.625,219.57,331.616,333.46,30.87,,
12,17-01-2003,358.2,357,221.494,220.848,336.117,334.897,31.02,,
13,20-01-2003,355.8,355.85,220.911,221.3,333.771,333.599,31.21,,
14,21-01-2003,355.55,353.8,221.32,220.066,333.85,332.082,30.9,,
15,22-01-2003,359.25,358.5,222.929,222.353,335.497,334.765,30.89,,
16,23-01-2003,363.3,364.7,223.983,224.707,337.859,339.193,30.18,,
17,24-01-2003,364.1,366,223.21,224.609,337.912,338.826,30.56,,
18,27-01-2003,370.8,368.5,226.567,225.949,340.809,341.046,30.16,,
19,28-01-2003,366.45,368.4,224.197,224.634,339.149,340.26,29.83,,
20,29-01-2003,369.85,369.9,224.614,224.549,339.936,340.576,30.3,,
21,30-01-2003,363,367.6,221.005,223.194,337.894,341.826,30.58,,
22,31-01-2003,370.35,367.5,224.115,223.269,342.409,341.543,30.71,,
23,03-02-2003,369,369.5,225.11,225.649,344.249,344.265,30.29,,
24,04-02-2003,374.85,376.55,227.9,228.517,346.794,346.731,29.98,,
25,05-02-2003,385,382.1,233.009,231.786,352.564,351.518,30.52,,
26,06-02-2003,372.5,375.8,226.485,229.37,344.748,346.871,30.77,,
27,07-02-2003,370.55,373.25,227.653,228.567,344.377,344.645,31.25,,
28,10-02-2003,371.75,370.5,227.718,227.231,343.577,343.979,31.38,,
29,11-02-2003,362.15,364,223.757,224.969,339.092,339.394,31.35,,
30,12-02-2003,363.15,356.3,224.347,220.688,337.406,332.462,31.3,,
31,13-02-2003,354.25,352.8,218.74,217.469,328.465,326.364,31.91,,
32,14-02-2003,356.25,354.25,220.22,219.418,329.556,328.222,32.33,,
33,17-02-2003,346.55,347,216.526,216.807,323.425,323.031,31.9,,
34,18-02-2003,347,344.1,217.079,216.333,323.543,321.289,31.85,,
35,19-02-2003,347.2,346,217.858,216.969,323.881,322.611,31.95,,
36,20-02-2003,351.1,351.55,219.781,220.56,325.998,325.962,31.48,,
37,21-02-2003,354,352.3,221.874,220.947,326.568,325.872,31.84,,
38,24-02-2003,352.9,355.2,223.425,224.455,328.126,330.173,32.44,,
39,25-02-2003,359.1,357.6,226.848,226.76,332.654,330.438,32.73,,
40,26-02-2003,352.55,351.9,223.841,222.722,327.649,326.741,32.49,,
41,27-02-2003,354,351.25,223.471,222.521,327.808,325.835,32.48,,
42,28-02-2003,347.65,347.45,220.06,220.673,322.945,322.459,32.63,,
43,03-03-2003,348.45,345.5,221.168,218.976,322.729,319.759,31.63,,
44,04-03-2003,352.4,353.4,222.756,223.247,322.711,323.478,32.12,,
45,05-03-2003,354.5,353.95,222.536,221.426,323.154,323.094,32.29,,
46,06-03-2003,353.25,354.7,220.025,221.452,322.308,323.189,32.5,,
47,07-03-2003,356.6,350.75,222.25,218.808,323.388,317.795,32.79,,
48,10-03-2003,353.1,354.45,221.31,221.601,319.924,320.769,33.11,,
49,11-03-2003,353.15,348.7,220.457,217.191,319.304,316.138,32.54,,
50,12-03-2003,349,346.1,216.367,215.036,316.324,314.065,32.74,,
51,13-03-2003,342.9,334.5,213.578,208.23,314.011,307.926,32.42,,
52,14-03-2003,335.5,335.2,210.384,210.884,311.08,311.466,30.98,,
53,17-03-2003,340.5,340.75,215.166,215.392,315.278,315.948,29.8,,
54,18-03-2003,334.9,338.8,213.489,216.763,316.421,318.961,27.69,,
55,19-03-2003,339,335.8,217.545,214.62,318.759,316.942,27.12,,
56,20-03-2003,335.5,335.8,214.377,214.377,315.765,315.72,26.51,,
57,21-03-2003,332.55,333.5,212.818,212.718,313.963,315.814,24.81,,
58,24-03-2003,330.15,329.45,209.939,208.976,309.709,309.343,25.7,,
59,25-03-2003,333,331.9,211.16,210.797,310.982,310.332,26.84,,
60,26-03-2003,329.6,329.95,209.589,209.426,309.396,308.942,25.54,,
61,27-03-2003,333.15,332.75,211.793,211.673,310.485,310.256,26.66,,
62,28-03-2003,330.3,330.75,211.46,210.803,307.829,307.103,27.23,,
63,31-03-2003,335.35,334.85,212.449,211.997,308.311,307.484,27.22,,
64,01-04-2003,335.65,334.35,212.37,212.556,307.936,307.025,26.8,,
65,02-04-2003,330.25,329.3,210.283,209.585,305.053,304.288,25.76,,
66,03-04-2003,324.7,323.7,207.675,206.705,303.175,301.959,26,,
67,04-04-2003,323.2,323.8,206.478,207.205,301.212,302.25,25.38,,
68,07-04-2003,319.75,319.9,206.197,206.52,302.307,302.134,24.91,,
69,08-04-2003,322.3,323.4,207.44,208.175,301.074,302.526,25.33,,
70,09-04-2003,324.1,321.35,208.693,206.696,301.32,300.468,25.59,,
71,10-04-2003,325.1,324.6,207.864,206.633,301.437,300.834,25.4,,
72,11-04-2003,325.05,324.8,206.643,207.011,301.811,302.421,24.96,,
73,14-04-2003,325.6,325.95,206.73,206.992,302.884,302.422,25.35,,
74,15-04-2003,323.7,325.45,206.152,207.161,301.116,301.538,25.56,,
